Designator,Mid X,Mid Y,Rotation,Layer
_4,50.01,-92.11,0.0,top
_3,60.0,-132.11,0.0,top
_2,140.02,-155.28,0.0,top
,140.02,-127.93,0.0,top
2,230.01,-92.09,180.0,bottom
3,220.0,-132.12,180.0,bottom
LED1,44.273115,-110.100261,0.0,bottom
LED10,235.7585,-110.101123,0.0,bottom
LED11,254.8185,-110.121123,0.0,bottom
LED12,44.298116,-129.15026,0.0,bottom
LED13,63.345997,-123.151562,0.0,bottom
LED14,82.391762,-120.077262,0.0,bottom
LED15,101.438672,-121.621418,0.0,bottom
LED16,120.475411,-121.609962,0.0,bottom
LED17,159.551363,-121.60193,0.0,bottom
LED18,178.594941,-121.611348,0.0,bottom
LED19,197.644938,-120.096196,0.0,bottom
LED2,63.320994,-104.106563,0.0,bottom
LED20,216.68494,-123.166197,0.0,bottom
LED21,235.758498,-129.161124,0.0,bottom
LED22,254.818499,-129.161122,0.0,bottom
LED23,87.455,-148.34,270.0,bottom
LED24,106.5,-149.89,270.0,bottom
LED25,125.54,-149.89,270.0,bottom
LED26,154.46,-149.87,90.0,bottom
LED27,173.52,-149.89,90.0,bottom
LED28,192.585001,-148.3,90.0,bottom
LED3,82.391763,-101.027263,0.0,bottom
LED4,101.438671,-102.546417,0.0,bottom
LED5,120.475413,-102.559964,0.0,bottom
LED6,159.54621,-102.55193,0.0,bottom
LED7,178.594941,-102.551348,0.0,bottom
LED8,197.654941,-101.036194,0.0,bottom
LED9,216.69494,-104.106197,0.0,bottom
